35 72 55 92 11
70 198 170 267 20
166 195 268 266 20
268 192 368 263 20
368 195 467 263 20
467 195 572 263 20
569 195 669 263 20
669 195 771 263 20
771 195 870 263 20
870 195 971 263 20
971 195 1069 263 20
1069 195 1171 263 20


70 266 169 345 21
166 266 271 345 21
269 266 369 345 21
369 266 470 345 21
468 266 571 345 21
568 266 669 345 21
668 266 769 345 21
769 266 871 345 21
866 266 971 345 21
969 266 1069 345 21
1069 266 1169 345 21

70 345 169 424 22
169 345 269 424 22
269 345 371 424 22
371 345 469 424 22
469 345 571 424 22
569 345 671 424 22
671 345 769 424 22
769 345 871 424 22
869 345 971 424 22
971 345 1069 424 22
1069 345 1171 424 22

70 424 169 500 23
169 424 271 500 23
268 424 369 500 23
369 424 468 500 23
469 424 571 500 23
571 424 669 500 23
669 424 771 500 23
771 424 871 500 23
868 424 969 500 23
969 424 1069 500 23
1069 424 1169 500 23 
